latitude,longitude,capacity,
-34.77,150.31,1.00E+06,
34.747,150.4,1.00E+06,
-34.791,150.25,1.00E+06,
-34.905,150.52,1.00E+06,
-35.107,150.57,1.00E+06,
-35.241,150.46,1.00E+06,
-35.258,150.34,1.00E+06,
-35.362,150.43,1.00E+06,
-35.561,150.18,1.00E+06,
-35.644,150.14,1.00E+06,
-35.76,150.17,1.00E+06,
-35.395,150,1.00E+06,
-35.429,149.27,1.00E+06,
-35.32,148.93,1.00E+06,
-35.449,148.82,1.00E+06,
-35.541,148.83,1.00E+06,
-35.772,148.65,1.00E+06,
-36.052,148.71,1.00E+06,
-36.15,148.77,1.00E+06,
-36.402,148.62,1.00E+06,
-36.321,148.63,1.00E+06,
-36.317,148.69,1.00E+06,
-36.491,149.74,1.00E+06,
-35.908,150.04,1.00E+06,
-35.805,150.15,1.00E+06,
-35.908,150.04,1.00E+06,
-35.908,150.04,1.00E+06,
-36.854,149.81,1.00E+06,
-36.894,149.89,1.00E+06,
36.8,149.82,1.00E+06,
-36.826,149.82,1.00E+06,
-36.738,149.76,1.00E+06,
-36.677,149.65,1.00E+06,
-36.568,149.45,1.00E+06,
-36.52,149.47,1.00E+06,
-36.231,149.16,1.00E+06,
-35.785,149.43,1.00E+06,
-35.818,149.15,1.00E+06,
-36.317,148.48,1.00E+06,
-36.305,148.32,1.00E+06,
-36.378,148.37,1.00E+06,
-36.443,148.45,1.00E+06,
-36.842,149.31,1.00E+06,
-37.51,149.73,1.00E+06,
-37.761,148.98,1.00E+06,
-37.75,149.13,1.00E+06,
-37.777,148.49,1.00E+06,
-36.998,147.92,1.00E+06,
-36.572,147.55,1.00E+06,
-36.878,147.29,1.00E+06,
-36.738,147.17,1.00E+06,
-38.097,47.311,1.00E+06,
-37.918,146.77,1.00E+06,
-38.294,146.37,1.00E+06,
-38.066,146.21,1.00E+06,
-38.085,146.38,1.00E+06,
-37.84,146.39,1.00E+06,
-37.707,146.33,1.00E+06,
-37.679,145.9,1.00E+06,
-37.675,145.81,1.00E+06,
-37.863,145.72,1.00E+06,
-37.636,145.56,1.00E+06,
-37.213,146.09,1.00E+06,
-37.181,145.88,1.00E+06,
-36.58,147.55,1.00E+06,
-36.24,148.12,1.00E+06,
-35.677,148.32,1.00E+06,
-35.97,148.39,1.00E+06,
-35.888,148.45,1.00E+06,
-36.056,148.27,1.00E+06,
-38.116,145.78,1.00E+06,
-37.964,145.43,1.00E+06,
-37.84,145.42,1.00E+06,
-37.632,145.57,1.00E+06,
-36.721,146.66,1.00E+06,
-36.223,147.85,1.00E+06,
-35.115,150.27,1.00E+06,
-35.178,150.06,1.00E+06,
-35.065,149.84,1.00E+06,
-35.333,150.22,1.00E+06,
-36.227,147.24,5.00E+04,
-36.154,147.02,5.00E+04,
-36.048,147.16,5.00E+04,
-35.961,147.42,5.00E+04,
-35.424,148.25,5.00E+04,
-36.398,151.19,5.00E+04,
-37.15,146.46,5.00E+04,
-37.506,145.76,5.00E+04,
-36.91,146.01,5.00E+04,
-36.802,145.79,5.00E+04,
-37.419,147.84,5.00E+04,
-37.241,147.7,5.00E+04,
-37.106,147.6,5.00E+04,
-37.09,147.38,5.00E+04,
-37.482,147.25,5.00E+04,
-37.789,146.68,5.00E+04,
-37.605,146.59,5.00E+04,
-37.447,146.37,5.00E+04,
-37.871,146.07,5.00E+04,
-37.714,147.3,5.00E+04,
-37.718,147.83,5.00E+04,
-37.062,148.26,5.00E+04,
-37.066,148.55,5.00E+04,
-36.689,148.47,5.00E+04,
-36.414,149.44,5.00E+04,
-35.879,149.6,5.00E+04,
-35.266,149.46,5.00E+04,
-36.633,148.83,5.00E+04,
-36.922,148.88,5.00E+04,
-35.789,147.98,5.00E+04,
-35.978,147.73,5.00E+04,
-36.439,146.87,5.00E+04,
-37.058,149.25,5.00E+04,
-36.455,149.21,5.00E+04,
-35.557,149.83,5.00E+04,
-36.15,149.97,5.00E+04,
-36.158,149.7,5.00E+04,
-37.372,146.98,5.00E+04,
